relative_path,slug,title,category,status,repository,file_page_url,source_url,author,license,license_url,attribution_required,restrictions,brand_source,notes
Computer/Program/Virtualbox/index.svg,technology/computer/program/virtualbox,Virtualbox,Program,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/virtualbox.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/virtualbox.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.virtualbox.org/svn/vbox/trunk/src/VBox/Artwork/OSE,
Computer/Program/Vs_code/index.svg,technology/computer/program/vs_code,Vs code,Program,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AVisual_Studio_Code_1.35_icon.svg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Visual_Studio_Code_1.35_icon.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Microsoft,Public domain,,no,,,
Computer/Program/Vulkan/index.svg,technology/computer/program/vulkan,Vulkan,Program,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/vulkan.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/vulkan.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.khronos.org/legal/trademarks,
Computer/Program/Wget/index.svg,technology/computer/program/wget,Wget,Program,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.22.0/icons/gnu.svg,https://raw.githubusercontent.com/simple-icons/simple-icons/15.22.0/icons/gnu.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://gnu.org,manual repair
Computer/Program/Whatsapp/index.svg,technology/computer/program/whatsapp,Whatsapp,Program,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/whatsapp.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/whatsapp.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://about.meta.com/brand/resources/whatsapp/whatsapp-brand,
Computer/Program/Windows_media_player/index.svg,technology/computer/program/windows_media_player,Windows media player,Program,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AMedia_Player_Windows_11_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/51/Media_Player_Windows_11_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Microsoft Corporation,Public domain,,no,,,
Computer/Program/Windows_terminal/index.jpg,technology/computer/program/windows_terminal,Windows terminal,Program,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AWindows_Terminal_-_Icon_collection.png,https://upload.wikimedia.org/wikipedia/commons/1/1d/Windows_Terminal_-_Icon_collection.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Microsoft Corporation,MIT,http://opensource.org/licenses/mit-license.php,yes,,,
Computer/Program/Wol/index.jpg,technology/computer/program/wol,Wol,Program,replaced,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AWake_on_LAN_connector.JPG,https://upload.wikimedia.org/wikipedia/commons/5/58/Wake_on_LAN_connector.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Raymangold22,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,no,,,"Wake-on-LAN hardware photo (Commons CC0), not a product logo"
Computer/Program/Wordpress/index.svg,technology/computer/program/wordpress,Wordpress,Program,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/wordpress.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/wordpress.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://wordpress.org/about/logos,
Computer/Program/Youtube/index.svg,technology/computer/program/youtube,Youtube,Program,replaced,Simple Icons,https://github.com/simple-icons/simple-icons/blob/15.0.0/icons/youtube.svg,https://cdn.jsdelivr.net/npm/simple-icons@15/icons/youtube.svg,Simple Icons contributors,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,Trademark of the respective brand; used here for identification,https://www.youtube.com/howyoutubeworks/resources/brand-resources/#logos-icons-and-colors,
